A* : ( 10,   5), cost : 10.00, step : 0
A* : (  9,   5), cost : 10.00, step : 1
A* : (  8,   5), cost : 10.00, step : 2
A* : (  7,   5), cost : 10.00, step : 3
A* : (  6,   5), cost : 10.00, step : 4
A* : (  5,   5), cost : 10.00, step : 5
A* : (  4,   5), cost : 10.00, step : 6
A* : (  3,   5), cost : 10.00, step : 7
A* : ( 10,   4), cost : 11.05, step : 1
A* : ( 10,   6), cost : 11.05, step : 1
A* : (  9,   4), cost : 11.06, step : 2
A* : (  9,   6), cost : 11.06, step : 2
A* : (  8,   4), cost : 11.06, step : 3
A* : (  8,   6), cost : 11.06, step : 3
A* : (  7,   6), cost : 11.07, step : 4
A* : (  7,   4), cost : 11.07, step : 4
A* : (  6,   6), cost : 11.08, step : 5
A* : (  6,   4), cost : 11.08, step : 5
A* : (  5,   6), cost : 11.10, step : 6
A* : (  5,   4), cost : 11.10, step : 6
A* : (  4,   6), cost : 11.12, step : 7
A* : (  4,   4), cost : 11.12, step : 7
A* : (  3,   6), cost : 11.16, step : 8
A* : (  3,   4), cost : 11.16, step : 8
A* : ( 11,   5), cost : 12.00, step : 1
A* : ( 10,   7), cost : 12.20, step : 2
A* : ( 10,   3), cost : 12.20, step : 2
A* : (  9,   3), cost : 12.22, step : 3
A* : (  9,   7), cost : 12.22, step : 3
A* : (  8,   3), cost : 12.25, step : 4
A* : (  8,   7), cost : 12.25, step : 4
A* : (  7,   3), cost : 12.28, step : 5
A* : (  7,   7), cost : 12.28, step : 5
A* : (  6,   7), cost : 12.32, step : 6
A* : (  6,   3), cost : 12.32, step : 6
A* : (  5,   3), cost : 12.39, step : 7
A* : (  5,   7), cost : 12.39, step : 7
A* : (  4,   7), cost : 12.47, step : 8
A* : (  4,   3), cost : 12.47, step : 8
A* : (  3,   3), cost : 12.61, step : 9
A* : (  3,   7), cost : 12.61, step : 9
A* : ( 11,   6), cost : 13.05, step : 2
A* : ( 11,   4), cost : 13.05, step : 2
A* : ( 10,   8), cost : 13.44, step : 3
A* : ( 10,   2), cost : 13.44, step : 3
A* : (  9,   8), cost : 13.49, step : 4
A* : (  9,   2), cost : 13.49, step : 4
A* : (  8,   8), cost : 13.54, step : 5
A* : (  8,   2), cost : 13.54, step : 5
A* : (  7,   8), cost : 13.62, step : 6
A* : (  7,   2), cost : 13.62, step : 6
A* : (  6,   2), cost : 13.71, step : 7
A* : (  6,   8), cost : 13.71, step : 7
A* : (  5,   2), cost : 13.83, step : 8
A* : (  5,   8), cost : 13.83, step : 8
A* : (  4,   8), cost : 14.00, step : 9
A* : (  4,   2), cost : 14.00, step : 9
A* : ( 11,   3), cost : 14.18, step : 3
A* : ( 11,   7), cost : 14.18, step : 3
A* : (  3,   2), cost : 14.24, step : 10
A* : (  3,   8), cost : 14.24, step : 10
A* : (  2,   2), cost : 14.61, step : 11
A* : (  2,   8), cost : 14.61, step : 11
A* : ( 10,   1), cost : 14.77, step : 4
A* : ( 10,   9), cost : 14.77, step : 4
A* : (  9,   9), cost : 14.85, step : 5
A* : (  9,   1), cost : 14.85, step : 5
A* : (  8,   1), cost : 14.94, step : 6
A* : (  8,   9), cost : 14.94, step : 6
A* : (  7,   1), cost : 15.06, step : 7
A* : (  7,   9), cost : 15.06, step : 7
A* : (  1,   2), cost : 15.16, step : 12
A* : (  1,   8), cost : 15.16, step : 12
A* : (  6,   1), cost : 15.21, step : 8
A* : (  6,   9), cost : 15.21, step : 8
A* : (  1,   3), cost : 15.24, step : 13
A* : (  1,   7), cost : 15.24, step : 13
A* : ( 11,   2), cost : 15.40, step : 4
A* : ( 11,   8), cost : 15.40, step : 4
A* : (  5,   9), cost : 15.40, step : 9
A* : (  5,   1), cost : 15.40, step : 9
A* : (  1,   4), cost : 15.41, step : 14
A* : (  1,   6), cost : 15.41, step : 14
A* : (  4,   9), cost : 15.66, step : 10
A* : (  4,   1), cost : 15.66, step : 10
A* : (  0,   6), cost : 16.00, step : 15
